Scheme Name,Details,Entities
HIMAYAT- Deen Dayal Upadhyaya-Grameen Kaushalya Yojana,"Himayat is a placement-linked skill training programme for unemployed youth in Jammu and Kashmir and is being implemented by the Himayat Mission Management Unit, J&K State Rural Livelihoods Mission (JKSRLM), Govt. of J&K. The Programme is an outcome of the recommendations of the Dr. C. Rangarajan Committee report submitted to the Hon’ble Prime Minister on February 24, 2011 which suggested a scheme of Skill Development for school/college dropouts.
﻿
Himayat – a Skill Development Programme for the youth has been under implementation since 2011. The Report suggested increasing the employability of youth by improving their skill sets and providing support for placement and self-employment.
﻿
Youth will be provided free skill training for a duration of 3 to 12 months, in a range of skills for which there is good market demand. At the end of the training, the youth are assured of a job and there is one year post-placement tracking to see how they are faring.","{""AGE"": [""February 24, 2011"", ""2011"", ""3 to 12 months""], ""GENDER"": [], ""LOCATION"": [""Jammu"", ""Govt""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
,,"{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
,,"{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
,,"{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
,,"{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
,,"{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
,,"{""AGE"": [], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Mukhyamantri Samekit Chaur Vikas Yojana,"The ""Mukhyamantri Samekit Chaur Vikas Yojana"" was launched by the Animal and Fisheries Resources Department, Government of Bihar. under Seven Nishchay-2, aims to develop undeveloped and unutilized private land in Bihar for fish-based integrated aquaculture. With a budget of ₹2972.79 lakh, the scheme targets the sustainable development of 600 hectares of Chaur land
﻿
Objective:
Utilization of unutilized private land for fish farming.
Increase in fish production and productivity.
Groundwater level improvement, supporting the ""Jal-Jeevan-Hariyali"" campaign.
Additional employment opportunities for farmers.
Strengthening of the local economy.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Bihar"", ""Chaur""], ""OCCUPATION"": [], ""INCOME"": [""2972.79""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Post Matric Scholarship for SC students (Delhi),"The scheme ""Post Matric Scholarship for SC Students"" by the Department for the Welfare of SC/ST/OBC, Government of NCT of Delhi, aims to provide financial assistance to SC students pursuing post-matriculation or post-secondary education in recognized institutions within India. The scheme covers maintenance allowance, tuition fees, and additional allowances for specific needs. Two significant benefits include the reimbursement of compulsory non-refundable fees and monthly maintenance allowances ranging from ₹230 to ₹1,200, depending on the course group. Eligibility criteria include an annual family income limit of ₹2,50,000/- and enrollment in a recognized institution. The scheme is implemented by the Department for the Welfare of SC/ST/OBC, Government of NCT of Delhi.","{""AGE"": [], ""GENDER"": [], ""LOCATION"": [""Delhi"", ""India"", ""Delhi""], ""OCCUPATION"": [], ""INCOME"": [""\u20b9230 to \u20b91,200""], ""SOCIAL_CATEGORY"": [""SC"", ""SC"", ""ST"", ""OBC"", ""SC"", ""SC"", ""ST"", ""OBC""], ""EDUCATION"": [""Matric""], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Aam Aadmi Bima Yojana,"The Aam Aadmi Bima Yojana (AABY) is a social security scheme launched by the Ministry of Labour & Employment, Government of India, and implemented through LIC. It provides death and disability coverage to members of 48 specific occupational/vocational groups, rural landless households, and unorganized workers. Beneficiaries aged 18–59 years pay subsidized annual premiums of ₹200 for insurance coverage. Additionally, scholarships are granted for children studying in grades 9–12, ensuring holistic family welfare.
﻿","{""AGE"": [""18\u201359 years""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [""200""], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": [""disability""]}"
Professional and Self Employment Scheme (HSFDC),"The scheme ""Professional and Self Employment Scheme"" is implemented by the Haryana Scheduled Castes Finance and Development Corporation (HSFDC) in collaboration with the bank tie-up schemes. The HSFDC is a Company registered under the Companies Act, 1956 on 02.01.1971. It is a wholly Government-owned Corporation with a 51% share of the State Government and a 49% share of the Government of India.
Under this scheme, the Corporation provides loans/benefits to individuals from Below Poverty Line (BPL) families, whose annual family income does not exceed ₹1,80,000/-, in both rural and urban areas. These loans support self-employment activities in fields such as the legal profession, Chartered Accountancy, medical practice, and other viable professional activities.","{""AGE"": [""1956"", ""02.01.1971""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Capacity Building For Service Providers - Entrepreneurship Programme,"The scheme ""Entrepreneurship Programme"" is a Suo-Moto Sub-Scheme of the Ministry of Tourism under the Umbrella Scheme of ""Capacity Building for Service Providers (CBSP)"". In this scheme, financial assistance is provided to the institutes (given below) to conduct entrepreneurship development programmes -
1.  Government-Sponsored Tourism & Hospitality Institutes
2.  Kerala Institute of Tourism & Travel Studies (KITTS)
3.  India Tourism Development Corporation (ITDC)
﻿
The target group are the citizens who have passed Class 8th and who are above the age of 18 years. The programme has 150 Hours of courses in the following five trades - (i) Cook - Tandoor (ii) Barman (iii) Baker (iv) Homestay (Multi-Skilled Caretaker) and (v) Halwai - Indian Sweets.","{""AGE"": [""the age of 18 years""], ""GENDER"": [], ""LOCATION"": [""Halwai - Indian Sweets""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Scheme for Assistance for Research & Development Activities: Assistance to Industrial Association for Establishment of R&D Laboratories,"The ""Scheme for Assistance for Research & Development Activities"" is an umbrella scheme launched by the Industries and Mines Department, Gujarat under the Gujarat Industrial Policy. Effective from August 7th, 2020 to August 6th, 2025, this initiative promotes sustainable industrial growth by supporting industries in adopting eco-friendly practices and ensuring compliance with environmental norms.
The component ""Assistance to Industrial Association for Establishment of R&D Laboratories"" provides financial support to Industrial Associations for setting up new Research and Development (R&D) laboratories. The assistance covers infrastructure, machinery, software, and other essential resources required for R&D activities. This initiative aims to promote innovation and technological advancements in industries.","{""AGE"": [""August 7th, 2020"", ""August 6th, 2025""], ""GENDER"": [], ""LOCATION"": [""Gujarat""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
"Theka Shramik, Gharelu Mahila Kamgar Evan Hamaal Shramik Ke Bachcho Hetu Chhaatravrtti Yojana","Labor Department of Chhattisgarh State started this scheme ""Theka Shramik, Gharelu Mahila Kamgar Evan Hamaal Shramik Ke Bachcho Hetu Chhaatravrtti Yojana"" for unorganized worker on 11 March  2015. The main objective of the scheme to provides financial assistance to the children of sanitation workers in India for higher education.","{""AGE"": [""11 March  2015""], ""GENDER"": [], ""LOCATION"": [""India""], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Standard Quality Compliance,"The scheme “Subsidy for Standard Quality Compliance” is a sub scheme under the “Incentive Scheme for MSMEs in Powerloom Sector”. It was launched on 1st January, 2022, by the Department of Micro, Small & Medium Enterprises and Textiles, Government of West Bengal, and shall remain valid upto 31st December, 2024.
Objective of the ""Incentive Scheme for MSMEs in Powerloom Sector”:
The objective of the Scheme is to extend fiscal incentives for installation of New age shuttleless Powerlooms by MSMEs in Textile sector with a view to boost production of the improved quality fabrics and to create a sustainable ecosystem for MSMEs in Textile sector which can maximize the utilization of resource, generate new employment and widen the area of operation to make the State emerge as the leader in Powerloom sector in country.
Objective of the ""Subsidy for Standard Quality Compliance"" Sub-scheme:
Through this incentive, an eligible micro or small enterprise in the Powerloom sector shall be reimbursed 50% of the expenditure incurred for obtaining any certification/ ISO 9000/ ISO 14000/ ISO 14001/ ISO 18000 certification from approved Institutions/ Research Laboratories. Any new certificate not covered above may be honoured on a case to case basis according to necessity and essentiality.","{""AGE"": [""1st January, 2022"", ""31st December, 2024""], ""GENDER"": [], ""LOCATION"": [], ""OCCUPATION"": [], ""INCOME"": [], ""SOCIAL_CATEGORY"": [], ""EDUCATION"": [], ""MARITAL_STATUS"": [], ""DISABILITY"": []}"
